soc_15-30,soc_0-5,soc_5-15,som,clay_5-15,clay_15-30,bd_0-5,bd_0_30,cec_5-15,bd_15-30,clay_0_30,sand_0_30,bd_5-15,cec_0-5,pool_RPM,porosity,pool_IOM,pool_HUM,sand_0-5,pool_BIO,clay_0-5,sand_5-15,pool_DPM,silt_0_30,silt_15-30,soc_0_30,x,y
-1.0724939,-1.1327018,-1.1263272,-1.8972154232666667,-1.1514972,-1.149233,-1.1485305,-1.14944265,-1.1158817,-1.1497028,-1.1501922,-1.1598943666666666,-1.1495085,-1.1159158,,0.99,,,-1.1581666,,-1.1504598,-1.1624211,,-1.1424428333333334,-1.1416124,-1.100472983333333,770442.4870920145,1456939.5962257397
-0.64864427,-0.73249304,-0.7280805,-1.1880046215666666,-0.8101739,-0.8023342,-0.8184791,-0.8189900816666668,-0.737527,-0.82054293,-0.804084455,-0.8288340116666667,-0.8169163,-0.74717367,,0.99,,,-0.83007896,,-0.79715633,-0.8266801,,-0.7853323666666666,-0.7870942,-0.6890978083333333,770692.6333651508,1456939.5962257397
0.66752017,0.6844619,0.7090703,1.17955017154,0.85580873,0.9261789,0.8474947,0.8515663033333335,1.0951284,0.8566048,0.8966702766666667,0.7982887333333333,0.84604436,1.051841,0.0978586576518084,0.6786542251572326,0.0318027839879437,0.5284367513197656,0.8062065,0.0195717315303616,0.8898675,0.8218942,0.0065239105101205,0.90758436,0.884206,0.684193835,770942.779638287,1456939.5962257397
0.7121359,0.7926264,0.8302758,1.3187409578000002,0.96958315,1.0039321,0.9732286,0.9774530266666666,1.2251878,0.9819991,0.99408105,0.92438227,0.97274613,1.1971031,0.1093229639563739,0.6311498012578617,0.0361111902908407,0.5903440053644191,0.9266438,0.0218645927912747,1.0135237,0.93811226,0.0072881975970915,1.0736966,1.0665296,0.7649309500000001,771192.9259114233,1456939.5962257397
0.7344438,0.7709935,0.882221,1.3616056892666666,0.94520295,0.962065,0.9732286,0.9774530266666666,1.2133642,0.9819991,0.9620765666666666,0.9251121433333334,0.97274613,1.1859291,0.1128515067615791,0.6311498012578617,0.0374511049228057,0.6093981365125274,0.91833776,0.0225703013523158,0.9958585,0.9295035,0.0075234337841052,1.1220690333333332,1.1273042,0.7897944833333334,771443.0721845595,1456939.5962257397
0.8236753,0.8358922,1.0726868,1.566625148466667,1.0020901,0.8962738,1.004662,0.98797115,0.9532454,0.9819991,0.94667125,1.0135371533333335,0.9885838,0.940101,0.1297165151560972,0.6271806981132075,0.043938515626018,0.7004691818429253,0.99309194,0.0259433030312194,0.9870259,0.98546034,0.0086477676770731,0.9833713166666668,1.0057551,0.9087152833333332,768941.6094531971,1456680.1392972758
0.75675166,0.662829,0.9341662,1.3796069731866667,1.0264704,0.974027,1.004662,0.98797115,1.106952,0.9819991,0.9995630166666668,0.98403701,0.9885838,1.1077111,0.114333073851125,0.6271806981132075,0.0380155709924995,0.6173985987960753,0.9764799,0.022866614770225,1.0223563,0.97254723,0.0076222049234083,0.9615895916666668,0.96523875,0.8002360633333333,769191.7557263334,1456680.1392972758
0.5782887,0.5005822,0.77833056,1.0895994400133333,0.8639355,0.8185206,0.831778,0.8148769666666666,0.9414218,0.809582,0.8411337500000001,0.8135418866666666,0.8143689,0.940101,0.0904444230210762,0.6924992578616352,0.0290554165261585,0.4883998843138116,0.8062065,0.0180888846042152,0.8633697,0.80037236,0.006029628201405,0.7799338333333333,0.772786,0.6320182366666667,769441.9019994696,1456680.1392972758
-1.0278782,-1.0894359,-1.074382,-1.8164737796666663,-1.0783565,-1.0834419,-1.0856636,-1.0864993166666668,-1.0449402,-1.0870057,-1.0811396166666667,-1.0941605333333333,-1.0861576,-1.0488718,,0.99,,,-1.0958716,,-1.079799,-1.0935512,,-1.0805815166666666,-1.0808378,-1.0536390833333331,769692.0482726059,1456680.1392972758
-1.0948018,-1.1543347,-1.1436422,-1.9326110396666665,-1.159624,-1.161195,-1.1642473,-1.1651784166666668,-1.1277053,-1.165377,-1.1603542166666665,-1.1698242833333334,-1.1653461,-1.1270899,,0.99,,,-1.1706257,,-1.1592923,-1.1710299,,-1.1520036500000002,-1.1517415,-1.1210040833333332,769942.1945457421,1456680.1392972758
-1.0724939,-1.1327018,-1.1263272,-1.8972154232666667,-1.1514972,-1.149233,-1.1485305,-1.14944265,-1.1158817,-1.1497028,-1.1501922,-1.16058655,-1.1495085,-1.1159158,,0.99,,,-1.1623197,,-1.1504598,-1.1624211,,-1.1424428333333334,-1.1416124,-1.100472983333333,770192.3408188784,1456680.1392972758
-0.35864195,-0.5486134,-0.55492985,-0.7856839649666667,-0.85080767,-0.8382203,-0.8656293,-0.8661976166666666,-0.796645,-0.8675658,-0.84146049,-0.8704037833333333,-0.8644295,-0.7918697,,0.99,,,-0.8674561,,-0.8324867,-0.8654195,,-0.8316501283333333,-0.83773965,-0.4557331583333333,770442.4870920145,1456680.1392972758
2.8983076,2.2312143,2.2674267,4.442457936999999,0.6770204,0.7706725,0.59602696,0.6313049683333333,0.8941274,0.63716495,0.7342953083333333,0.6377739733333333,0.640154,0.884231,0.3649217476208329,0.7617717100628931,0.1440200991944473,1.970577437152498,0.6400862,0.0729843495241665,0.73971355,0.66263247,0.0243281165080555,0.8039387833333332,0.772786,2.57683175,770692.6333651508,1456680.1392972758
1.0690619,0.9656896,1.0553718,1.8054931639333327,1.0264704,1.0757042,0.95751184,0.9617171733333334,1.2133642,0.9663248,1.0533458,0.8938122666666667,0.9569084,1.1971031,0.1493434633378775,0.6370878591194968,0.0516467277474827,0.8064547020245387,0.9058787,0.0298686926675755,1.0400214,0.9165904,0.0099562308891918,1.0076889366666666,0.98549694,1.0472698166666663,770942.779638287,1456680.1392972758
