aspect,B11,B12,B2,B3,B4,B8,bd_0-5,bd_15-30,bd_5-15,bsi,cec_0-5,cec_15-30,cec_5-15,clay_0-5,clay_15-30,clay_5-15,dem,evi,ndmi,ndvi,ph_0-5,ph_15-30,ph_5-15,sand_0-5,sand_15-30,sand_5-15,savi,silt_0-5,silt_15-30,silt_5-15,slope,soc_0-5,soc_15-30,soc_5-15,tpi,tri,worldcover,x,y,soc_0_30,clay_0_30,sand_0_30,silt_0_30,ph_0_30,bd_0_30,cec_0_30,twi
178.0,2626.6597,1723.3202,422.27686,641.0687,785.8367,2283.1555,136.0,137.0,135.0,0.108217396,201.0,194.0,191.0,240.0,350.0,257.0,870.0,0.28888318,-0.06455981,0.49421376,65.0,65.0,65.0,507.0,424.0,490.0,0.29280886,254.0,227.0,254.0,3.0,18.0,8.0,11.0,-2.125,2.3333333,40.0,771443.0721845595,1457199.0531542036,10.666667,300.66666,459.83334,240.5,65.0,136.16667,194.16667,-1.8033994
177.0,2464.5947,1747.2201,521.5645,719.3631,875.4646,2089.2566,139.0,138.0,137.0,0.12142589,206.0,205.0,200.0,240.0,340.0,263.0,867.0,0.2299649,-0.08215278,0.4075034,66.0,66.0,66.0,512.0,435.0,493.0,0.23091874,248.0,225.0,244.0,2.0,18.0,8.0,10.0,-2.0,2.2222223,40.0,768941.6094531971,1456939.5962257397,10.333333,297.66666,467.16666,235.16667,66.0,137.83333,203.5,-1.5908532
174.0,2597.4304,1795.1353,521.98444,730.54205,890.21423,2208.5908,138.0,138.0,136.0,0.117256366,218.0,212.0,210.0,238.0,346.0,257.0,867.0,0.24286535,-0.0774733,0.4283592,66.0,66.0,66.0,512.0,430.0,495.0,0.24421223,251.0,224.0,249.0,3.0,18.0,8.0,10.0,0.25,2.6666667,40.0,769191.7557263334,1456939.5962257397,10.333333,298.33334,465.33334,236.83333,66.0,137.33333,212.33333,-1.9464055
158.0,2793.588,1901.6224,536.35406,740.51324,925.81964,2226.5369,135.0,135.0,133.0,0.14177905,210.0,205.0,203.0,242.0,350.0,262.0,863.0,0.23590872,-0.107876316,0.41026083,65.0,65.0,65.0,503.0,421.0,485.0,0.2380913,237.0,210.0,234.0,3.0,17.0,8.0,11.0,-0.375,3.4444444,40.0,769441.9019994696,1456939.5962257397,10.5,302.66666,456.0,222.5,65.0,134.33333,205.16667,-1.9895744
167.0,1362.0309,952.5681,440.8512,567.35205,609.4686,1114.307,0.0,0.0,0.0,0.07478126,0.0,0.0,0.0,0.0,0.0,0.0,859.0,0.09038306,-0.078850925,0.080805145,0.0,0.0,0.0,0.0,0.0,0.0,0.09002818,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.625,2.7777777,40.0,769692.0482726059,1456939.5962257397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9957323
146.0,333.9729,273.3498,312.77567,382.60736,320.21448,200.52168,0.0,0.0,0.0,0.114793226,0.0,0.0,0.0,0.0,0.0,0.0,856.0,-0.03120177,-0.24415852,-0.2692929,0.0,0.0,0.0,0.0,0.0,0.0,-0.033336844,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,1.5555556,20.0,769942.1945457421,1456939.5962257397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4011974
135.0,403.51254,336.1014,307.21588,372.50912,318.09753,209.48973,0.0,0.0,0.0,0.16245429,0.0,0.0,0.0,0.0,0.0,0.0,855.0,-0.027881032,-0.32651752,-0.24142672,0.0,0.0,0.0,0.0,0.0,0.0,-0.02982289,0.0,0.0,0.0,8.0,0.0,0.0,0.0,-1.125,1.0,20.0,770192.3408188784,1456939.5962257397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3820267
280.0,778.0041,594.2488,348.58435,428.07166,406.00864,528.8383,0.0,0.0,0.0,0.16490075,0.0,0.0,0.0,0.0,0.0,0.0,856.0,0.021358557,-0.26880074,-0.047823478,0.0,0.0,0.0,0.0,0.0,0.0,0.019986534,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-2.375,2.5555556,20.0,770442.4870920145,1456939.5962257397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4011974
266.0,2510.856,1691.3477,497.42935,684.6623,815.1286,2089.5547,17.0,17.0,17.0,0.12043494,26.0,25.0,25.0,31.0,46.0,33.0,863.0,0.23284824,-0.1023451,0.39548194,8.0,8.0,8.0,63.0,52.0,61.0,0.23234524,31.0,27.0,31.0,2.0,2.0,1.0,1.0,0.75,4.4444447,20.0,770692.6333651508,1456939.5962257397,1.1666666,39.166668,56.833332,29.0,8.0,17.0,25.166666,-1.6207973
229.0,3232.656,2180.637,585.1566,822.1407,1042.7081,2544.778,136.0,137.0,135.0,0.150806,207.0,203.0,200.0,246.0,370.0,263.0,868.0,0.26257452,-0.116575,0.4255428,65.0,65.0,66.0,506.0,416.0,492.0,0.26348954,248.0,214.0,246.0,2.0,17.0,8.0,11.0,0.5,4.0,40.0,770942.779638287,1456939.5962257397,10.5,313.66666,456.33334,230.33333,65.333336,136.16667,202.66667,-1.547537
