aspect,B11,B12,B2,B3,B4,B8,bd_0-5,bd_15-30,bd_5-15,bsi,cec_0-5,cec_15-30,cec_5-15,clay_0-5,clay_15-30,clay_5-15,dem,evi,ndmi,ndvi,pet_apr,pet_aug,pet_dec,pet_feb,pet_jan,pet_jul,pet_jun,pet_mar,pet_may,pet_nov,pet_oct,pet_sep,ph_0-5,ph_15-30,ph_5-15,rain_apr,rain_aug,rain_dec,rain_feb,rain_jan,rain_jul,rain_jun,rain_mar,rain_may,rain_nov,rain_oct,rain_sep,sand_0-5,sand_15-30,sand_5-15,savi,silt_0-5,silt_15-30,silt_5-15,slope,soc_0-5,soc_15-30,soc_5-15,worldcover
-0.9090082,0.7497275,0.7416442,0.526726,0.4851726,0.56828165,0.6369789,0.6903274,0.68418777,0.70350486,0.44048268,0.98479706,1.0097578,1.0241868,0.6778854,0.68693835,0.6770204,0.20435728,0.6688154,0.1827643,0.7445082,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.5723805,1.5587724,-0.119926624,-0.28833294,1.0490211,0.74969834,0.7479249,0.7382774,-0.36627823,1.1453892,-1.3367776,0.0,0.0,-0.21812733,-0.31620568,1.0137513,0.3304627,-1.2125584,1.8832552,-1.1675259,0.68161625,0.6702689,0.6798499,0.68843126,0.7470695,0.75252783,0.75313234,0.11006122,0.5222151,0.60059655,0.5186045,-0.80553365
-0.6143291,-0.14426301,-0.13769232,0.016100397,-0.2146934,-0.18636192,-0.19582717,-1.0856636,-1.0870057,-1.0861576,0.18915716,-1.0488718,-1.0520402,-1.0449402,-1.0886316,-1.089423,-1.0864832,-0.4227385,-0.13781913,-0.15253913,0.15042962,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.152888,0.65633684,-0.119926624,-0.28833294,1.0490211,-1.0986959,-1.0989399,-1.0989274,-0.595005,0.82673717,-1.3367776,0.0,0.0,-0.21812733,-0.5517141,1.0137513,0.51799047,-0.860127,1.1093975,-1.1675259,-1.1000246,-1.0989802,-1.0978556,-0.1310592,-1.0811585,-1.0808378,-1.0799086,-0.76431465,-1.0894359,-1.0278782,-1.074382,-0.80553365
-0.33698404,-1.2327876,-1.1740617,-1.0447711,-1.2555336,-1.1820456,-1.33194,-1.1642473,-1.165377,-1.1653461,1.2397643,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.798996,-1.3242074,-2.0944831,-0.93414336,0.0068858177,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.152888,0.65633684,-1.3449128,-0.28833294,0.17176704,-1.1647099,-1.1648993,-1.1645418,-0.82373166,0.50808513,-0.4795615,0.0,0.0,-0.71325034,-0.5517141,-0.798329,0.7055182,-0.860127,1.1093975,-1.1675259,-1.1706257,-1.1687534,-1.1710299,-1.3232789,-1.152504,-1.1517415,-1.1521467,0.11006122,-1.1543347,-1.0948018,-1.1436422,-0.80553365
-0.75300163,-1.1047502,-1.0048155,-0.89677155,-1.168317,-1.0833144,-1.2909579,-1.1642473,-1.165377,-1.1653461,1.9975065,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-1.0498343,-1.2969303,-2.719437,-0.8785636,0.0068858177,1.1489199,-0.13680287,-0.15066734,0.13504352,0.48186,0.6456372,0.7333952,0.65633684,-1.3449128,-0.28833294,0.17176704,-1.1647099,-1.1648993,-1.1645418,-1.0524584,0.50808513,-0.4795615,0.0,0.0,-0.71325034,-0.7872225,-0.798329,0.89304596,-0.5076956,0.33553985,-0.98181355,-1.1706257,-1.1687534,-1.1710299,-1.2949659,-1.152504,-1.1517415,-1.1521467,1.8588129,-1.1543347,-1.0948018,-1.1436422,-0.80553365
0.99773896,-1.004215,-0.8779525,-0.7420748,-1.0563821,-0.9747995,-1.2229778,-1.1642473,-1.165377,-1.1653461,2.0734067,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-1.0498343,-1.2407132,-2.5987666,-0.77070135,0.0068858177,0.3355815,-0.13680287,-0.15066734,0.13504352,0.48186,0.6456372,0.7333952,0.65633684,-1.3449128,-0.28833294,0.17176704,-1.1647099,-1.1648993,-1.1645418,-1.0524584,0.18943305,-0.4795615,0.0,0.0,-1.2083734,-1.022731,-0.798329,1.0805737,-0.15526426,0.33553985,-0.98181355,-1.1706257,-1.1687534,-1.1710299,-1.2359698,-1.152504,-1.1517415,-1.1521467,0.11006122,-1.1543347,-1.0948018,-1.1436422,-0.80553365
0.9630708,0.02269369,0.08392462,0.26143572,0.040790696,0.088892534,-0.15576574,-0.9127795,-0.91458863,-0.9119426,0.59101367,-0.8589137,-0.86671007,-0.8557629,-0.90314734,-0.9040114,-0.9076949,-0.54815763,-0.23925017,-0.45353135,0.014487688,0.0068858177,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,0.7333952,0.65633684,-1.3449128,-0.28833294,-0.7054871,-0.9336606,-0.9340413,-0.9348912,-1.2811852,-0.12921901,-0.4795615,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.2681015,-0.15526426,0.33553985,-0.98181355,-0.9214452,-0.9245472,-0.92137635,-0.22674309,-0.89387655,-0.8985142,-0.89028364,-0.76431465,-0.9163727,-0.871723,-0.9012312,0.9266665
0.65105766,1.3690121,1.4401789,1.625935,1.2993801,1.4706817,0.8378602,0.75319433,0.7468849,0.75101805,1.58466,0.906579,0.9518421,0.9532454,0.7838765,0.8005776,0.75016105,-0.046481024,0.47892436,-0.5911471,0.53549516,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,0.3139026,-0.24609877,-1.3449128,-1.6183012,-0.7054871,0.74969834,0.7479249,0.7382774,-1.5099118,-0.4478711,0.3776546,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.4556291,0.19716711,-0.43831784,-0.98181355,0.7065343,0.6902041,0.7185893,0.5104998,0.8273331,0.80317324,0.8434299,0.11006122,0.6520125,0.5782887,0.62249494,0.9266665
0.5643873,1.077081,1.0352882,0.7506184,0.796486,0.92703444,0.84661764,0.9732286,0.9663248,0.97274613,0.79663616,1.1412331,1.1719217,1.1778934,0.9870259,0.980008,0.94520295,0.4551956,0.727606,-0.013234699,0.7329292,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,0.3139026,-0.24609877,-1.3449128,-1.6183012,-0.7054871,0.98074764,0.978783,0.967928,-1.7386385,-0.4478711,0.3776546,0.0,0.0,-1.7034963,-1.4937477,-0.798329,1.6431569,0.54959846,-0.43831784,-0.7961012,0.9349498,0.9294265,0.9424166,0.7656125,1.0502877,1.0462714,1.0691739,0.11006122,0.8142593,0.7344438,0.77833056,-0.80553365
-0.111641206,0.7773886,0.6612204,-0.21650098,0.0989098,0.34311196,0.70322216,0.9732286,0.9819991,0.97274613,0.36574942,1.118885,1.1255891,1.1424227,0.9605282,0.9381409,0.9289495,0.7060339,0.9237465,0.30373397,0.86756617,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,-0.2434978,0.6456372,-0.10559007,-0.24609877,-1.3449128,-1.6183012,-0.7054871,0.98074764,0.978783,0.967928,-1.7386385,-0.7665231,0.3776546,0.0,0.0,-1.7034963,-1.7292562,-0.798329,1.6431569,0.54959846,-1.2121755,-0.7961012,0.9349498,0.9443779,0.93811226,0.96975374,1.112715,1.1374333,1.1323823,0.11006122,0.80344284,0.68982804,0.81296074,0.9266665
-0.12897527,0.6235587,0.69457084,0.7068384,0.54544365,0.66532075,0.5033648,1.0203788,0.99767333,1.0044216,0.61523384,1.1635811,1.2298374,1.2251878,0.9605282,0.87234974,0.97770995,0.32977644,0.48783445,0.09976212,0.62436956,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.5723805,1.5587724,-0.119926624,-0.28833294,1.0490211,1.0137547,1.0117627,1.0007352,0.09117518,1.4640414,-1.3367776,0.0,0.0,0.77211875,0.39031956,1.0137513,-0.23212051,-1.5649897,1.8832552,-0.98181355,0.95986784,0.9991997,0.95102537,0.5108579,1.0502877,1.1171751,1.0420846,-0.76431465,0.82507575,0.7344438,0.63981,0.9266665
